package,version,license,level
"coq","9.1.0","https://spdx.org/licenses/LGPL-2.1-only.html","base"
"dune","3.21.0","https://spdx.org/licenses/MIT.html","base"
"dune-configurator","3.21.0","https://spdx.org/licenses/MIT.html","base"
"rocq-stdlib","9.0.0","https://spdx.org/licenses/LGPL-2.1-only.html","base"
"rocqide","9.1.0","https://spdx.org/licenses/LGPL-2.1-only.html","ide"
"vsrocq-language-server","2.3.4","https://spdx.org/licenses/MIT.html","ide"
"coq-coqeal","2.1.1","https://spdx.org/licenses/MIT.html","full"
"coq-coqprime","1.6.0","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coqprime-generator","1.1.2","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coquelicot","3.4.4","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-corn","9.0.0","https://spdx.org/licenses/GPL-2.0.html","full"
"coq-dpdgraph","1.0+9.1","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-ext-lib","0.13.0","https://spdx.org/licenses/BSD-2-Clause.html","full"
"coq-flocq","4.2.2","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-gappa","1.7.1","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-hammer","1.3.2+9.1","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-hammer-tactics","1.3.2+9.1","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-interval","4.11.4","https://spdx.org/licenses/CECILL-C.html","full"
"coq-math-classes","9.0.0","https://spdx.org/licenses/MIT.html","full"
"coq-mathcomp-algebra-tactics","1.2.7","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-analysis","1.16.0","https://spdx.org/licenses/CECILL-C.html","full"
"coq-mathcomp-multinomials","2.4.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-real-closed","2.0.3","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-ssreflect","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-word","3.4","https://spdx.org/licenses/MIT.html","full"
"coq-mathcomp-zify","1.6.0+2.3+8.18","https://spdx.org/licenses/CECILL-B.html","full"
"coq-menhirlib","20250903","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-mtac2","1.4+9.1","https://spdx.org/licenses/MIT.html","full"
"coq-ott","0.34","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-quickchick","2.1.1","https://spdx.org/licenses/MIT.html","full"
"coq-reglang","1.2.2","https://spdx.org/licenses/CECILL-B.html","full"
"coq-simple-io","1.11.0","https://spdx.org/licenses/MIT.html","full"
"coq-unicoq","1.6+9.1","https://spdx.org/licenses/MIT.html","full"
"eprover","3.1","LGPL-2.1-or-later OR GPL-2.0-or-later","full"
"gappa","1.6.0","https://spdx.org/licenses/CECILL-2.1.html","full"
"menhir","20250903","https://spdx.org/licenses/GPL-2.0-only.html","full"
"ott","0.34","https://spdx.org/licenses/BSD-3-Clause.html","full"
"rocq-aac-tactics","9.0.0","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"rocq-bignums","9.0.0+rocq9.1","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"rocq-elpi","3.3.1","https://spdx.org/licenses/LGPL-2.1-or-later.html","full"
"rocq-equations","1.3.1+9.1","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"rocq-hierarchy-builder","1.10.2","https://spdx.org/licenses/MIT.html","full"
"rocq-iris","4.5.0","https://spdx.org/licenses/BSD-3-Clause.html","full"
"rocq-iris-heap-lang","4.5.0","https://spdx.org/licenses/BSD-3-Clause.html","full"
"rocq-libhyps","4.0","https://spdx.org/licenses/MIT.html","full"
"rocq-mathcomp-algebra","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-bigenough","1.0.4","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-character","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-field","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-fingroup","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-finmap","2.2.2","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-solvable","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-mathcomp-ssreflect","2.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"rocq-relation-algebra","1.8.0","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"rocq-stdpp","1.13.0","https://spdx.org/licenses/BSD-3-Clause.html","full"
"sexplib","v0.16.0","https://spdx.org/licenses/MIT.html","full"
"z3_tptp","4.13.0","https://spdx.org/licenses/MIT.html","full"
"coq-compcert","3.17","INRIA Non-Commercial License Agreement","optional"
"coq-unimath","20260603","Similar to MIT license","optional"
"coq-vst","2.16","https://spdx.org/licenses/BSD-2-Clause.html","optional"
"coq-bedrock2","0.0.9","https://spdx.org/licenses/MIT.html","extended"
"coq-bedrock2-compiler","0.0.9","https://spdx.org/licenses/MIT.html","extended"
"coq-coqutil","0.0.7","https://spdx.org/licenses/MIT.html","extended"
"coq-deriving","0.2.3","https://spdx.org/licenses/MIT.html","extended"
"coq-extructures","0.5.0","https://spdx.org/licenses/MIT.html","extended"
"coq-fiat-crypto","0.1.6","MIT OR Apache-2.0 OR BSD-1-Clause","extended"
"coq-record-update","0.3.6","https://spdx.org/licenses/MIT.html","extended"
"coq-reduction-effects","0.1.6","https://spdx.org/licenses/MPL-2.0.html","extended"
"coq-rewriter","0.0.15","MIT OR Apache-2.0 OR BSD-1-Clause","extended"
"coq-riscv","0.0.6","https://spdx.org/licenses/BSD-3-Clause.html","extended"
"coq-rupicola","0.0.11","https://spdx.org/licenses/MIT.html","extended"
"rocq-metarocq","1.4.1+9.1","https://spdx.org/licenses/MIT.html","extended"
"atd","4.1.0","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"atdgen","4.1.0","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"atdgen-runtime","4.1.0","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"atdts","4.1.0","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"base-bigarray","base","unknown","dependency"
"base-threads","base","unknown","dependency"
"base-unix","base","unknown","dependency"
"base","v0.16.4","https://spdx.org/licenses/MIT.html","dependency"
"biniou","1.2.2","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"cairo2","0.6.5","https://spdx.org/licenses/LGPL-3.0-or-later.html","dependency"
"camlp-streams","5.0.1","LGPL-2.1-only WITH OCaml-LGPL-linking-exception","dependency"
"cmdliner","2.1.0","https://spdx.org/licenses/ISC.html","dependency"
